stockname,date,ii,nii,oi,revenue
平安银行,20141231,5304600,1737800,298300,7340700
平安银行,20131231,4068800,1045600,104500,5218900
平安银行,20121231,3303535.2,572127.5,99202.1,3974864.8
平安银行,20111231,2528977.4,366466.9,68861.8,2964306.1
平安银行,20101231,1582919.2,158514.2,60794.4,1802227.8
平安银行,20091231,1298437.4,118078.4,94928.2,1511444
平安银行,20081231,1259788.8,85138.8,106384.3,1451311.9
平安银行,20071231,960584.9,52071.3,68094,1080750.2
宁波银行,20141231,1335468.1,248504.3,-50048.8,1535675
宁波银行,20131231,1125868.9,161933.6,-11800.3,1276147.9
宁波银行,20121231,921557.2,98176.2,13567.4,1034183.6
宁波银行,20111231,683298.8,71913.1,37837.8,796613.3
宁波银行,20101231,511456.7,48858.1,16644.8,591191.8
宁波银行,20091231,355390,45152.1,16917.9,417550.6
宁波银行,20081231,289073.78,37532.77,13734.6,340379.43
宁波银行,20071231,206182.65,17129.76,746.37,224378.58
浦发银行,20141231,9818300,2134600,303700,12318100
浦发银行,20131231,8517700,1390400,15900,10001500
浦发银行,20121231,7336200,874600,50200,8295200
浦发银行,20111231,6144156.2,671572.6,-44811.5,6791767.2
浦发银行,20101231,4520351.04,404854.58,28292.92,4985585.07
浦发银行,20091231,3353838.81,220696.62,69447.03,3682393.22
浦发银行,20081231,3153433.53,179454.82,101302.32,3456056.68
浦发银行,20071231,2417997.03,112943.89,32054.93,2587643.43
华夏银行,20141231,4624100,765200,78100,5488500
华夏银行,20131231,3890200,631200,-1400,4521900
华夏银行,20121231,3534354.69,404575.96,36590.75,3977695.11
华夏银行,20111231,3029273.08,297550.02,26326.87,3354379.54
华夏银行,20101231,2276000.55,144487.19,26342.32,2447889.46
华夏银行,20091231,1580718.76,102443.45,29192.29,1712963.49
华夏银行,20081231,1349175.67,82279.97,328807.01,1761136.59
华夏银行,20071231,1124709.12,45125.24,255309,1426028.16
民生银行,20141231,9213600,3823900,431800,13546900
民生银行,20131231,8303300,2995600,276500,11588600
民生银行,20121231,7715300,2052300,514200,10311100
民生银行,20111231,6482100,1510100,118800,8236800
民生银行,20101231,4587300,828900,-19500,5476800
民生银行,20091231,3224000,466400,454700,4206000
民生银行,20081231,3038000,446100,-9400,3501700
民生银行,20071231,2258015.4,239134.7,24532.9,2530136.8
招商银行,20141231,11200000,4469600,916700,16586300
招商银行,20131231,9891300,2918400,450700,13260400
招商银行,20121231,8837400,1973900,525400,11336700
招商银行,20111231,7630700,1562800,384800,9615700
招商银行,20101231,5707600,1133000,297100,7137700
招商银行,20091231,4036400,799300,308900,5144600
招商银行,20081231,4688500,774400,67900,5530800
招商银行,20071231,3390200,643900,61700,4095800
南京银行,20141231,1343468.1,195399.5,58088.8,1599153.4
南京银行,20131231,909627.1,118027,19814.4,1047829.4
南京银行,20121231,769551.5,92537.5,49204.3,911445.3
南京银行,20111231,651179.6,73044.3,21945.6,746254
南京银行,20101231,462184.4,47463.1,20806.7,530552.6
南京银行,20091231,316685.31,32815.77,13224.89,362761.05
南京银行,20081231,259616.49,22038.27,40623.65,322367
南京银行,20071231,195623.67,6570.82,-9710.2,192567.94
兴业银行,20141231,9556000,2704100,204900,12489800
兴业银行,20131231,8584500,2376200,-75300,10928700
兴业银行,20121231,7219300,1494700,-6500,8761900
兴业银行,20111231,5073400,884500,-5600,5987000
兴业银行,20101231,3803178.33,480116.14,32817.81,4345591.28
兴业银行,20091231,2720173.72,311599.52,121220.5,3167904.54
兴业银行,20081231,2619245.5,262384.43,87536.8,2971498.07
兴业银行,20071231,2084599.2,151785.52,-36010.2,2205541.08
北京银行,20141231,3128500,478000,79500,3687800
北京银行,20131231,2628515.4,395146.8,40867.8,3066515.4
北京银行,20121231,2462279,267249.1,50987.8,2781686
北京银行,20111231,1877198.2,161273,33132.1,2072773.4
北京银行,20101231,1447888.6,96421.7,18042.2,1563522.6
北京银行,20091231,1095392.2,65010.4,27837.6,1189410.5
北京银行,20081231,1108850.1,48896.5,71489.6,1230405.5
北京银行,20071231,720037.8,29628.9,13426.7,764186.2
农业银行,20141231,42989100,8012300,-222700,52085800
农业银行,20131231,37620200,8317100,179500,46262500
农业银行,20121231,34187900,7484400,498700,42196400
农业银行,20111231,30719900,6875000,178200,37773100
农业银行,20101231,24215200,4612800,213800,29041800
农业银行,20091231,18163900,3564000,499500,22227400
农业银行,20081231,19384500,2379800,-645400,21118900
农业银行,20071231,15746500,2299500,-122300,17923700
交通银行,20141231,13477600,2960400,817600,17740100
交通银行,20131231,13065800,2596800,25300,16443500
交通银行,20121231,12012600,2088200,209300,14733700
交通银行,20111231,10260100,1954900,196400,12695600
交通银行,20101231,8499500,1447900,153500,10423400
交通银行,20091231,6656400,1139900,234200,8093700
交通银行,20081231,6563600,883700,209600,7666000
交通银行,20071231,5374200,718800,128000,6232200
工商银行,20141231,49352200,13249700,793400,65889200
工商银行,20131231,44333500,12232600,1242700,58963700
工商银行,20121231,41782800,10606400,571300,53694500
工商银行,20111231,36276400,10155000,628000,47521400
工商银行,20101231,30374900,7284000,394800,38082100
工商银行,20091231,24582100,5514700,810500,30945400
工商银行,20081231,26303700,4400200,229100,30975800
工商银行,20071231,22446500,3438400,-611600,25415700
光大银行,20141231,5825900,1915700,98600,7853100
光大银行,20131231,5086200,1495200,-66700,6530600
光大银行,20121231,5026300,947900,7100,5991600
光大银行,20111231,3944023.6,697311.9,-39992,4607255.3
光大银行,20101231,3042206.9,470852.8,36311.4,3552998.5
光大银行,20091231,1960206.1,315662.4,146685.4,2425865.3
光大银行,20081231,2233573.7,217431.5,16759.6,2470099.8
光大银行,20071231,1777242,118962.3,104591.7,2004436.5
建设银行,20141231,43739800,10851700,805100,57047000
建设银行,20131231,38954400,10428300,769400,50860800
建设银行,20121231,35320200,9350700,841700,46074600
建设银行,20111231,30457200,8699400,441200,39709000
建设银行,20101231,25150000,6613200,552100,32348900
建设银行,20091231,21188500,4805900,699000,26718400
建设银行,20081231,22492000,3844600,402500,26750700
建设银行,20071231,19277500,3131300,-479600,21945900
中国银行,20141231,32110200,9124000,2356900,45633100
中国银行,20131231,28358500,8209200,1873600,40750800
中国银行,20121231,25696400,6992300,1916600,36609100
中国银行,20111231,22806400,6466200,2226000,32816600
中国银行,20101231,19396200,5448300,1568000,27681700
中国银行,20091231,15888100,4601300,1337200,23219800
中国银行,20081231,16293600,3994700,1162500,22828800
中国银行,20071231,15274500,2748800,43600,18066900
中信银行,20141231,9474100,2531300,466200,12471600
中信银行,20131231,8568800,1681100,205900,10455800
中信银行,20121231,7548600,1121000,273900,8943500
中信银行,20111231,6510600,883700,300500,7694800
中信银行,20101231,4813500,569600,193400,5576500
中信银行,20091231,3598400,422000,59700,4080100
中信银行,20081231,3609100,304500,101900,4015500
中信银行,20071231,2617000,208000,-41200,2783800
