stockid,date,asset,equity,loan,deposit
000001,19891231,168166,14406,97349.29295,137912.4149
000001,19901231,291919,23651,168988.4296,239401.8663
000001,19911231,435446,57796,252074.4991,357107.9137
000001,19921231,752284.75,54566.21875,435488.675,616946.3897
000001,19931231,932322.4375,120880.4766,539710.3463,764594.7387
000001,19940630,1246595.375,151291.3438,721639.2039,1022329
000001,19941231,1548841.25,165983.2969,896605.7383,1270199.904
000001,19950630,1743993,186832.625,1009576.76,1430243.249
000001,19951231,2031247.5,196053.8906,1175864.966,1665819.773
000001,19960630,2429677,232489.4844,1406511.055,1992570.57
000001,19961231,3002203,253968.6875,1737939.532,2462097.367
000001,19970630,3053193.25,298246.75,1767457.18,2503914.313
000001,19971231,3179862.75,340068.1563,1840784.644,2607795.577
000001,19980630,3487337.25,377697.4063,2018777.967,2859954.46
000001,19981231,3939985.75,367636.3125,2280810.788,3231170.091
000001,19990630,3871211.25,391754.9375,2240998.05,3174768.337
000001,19991231,4586897,290083.0625,2655300,3761700
000001,20000630,4973233.5,307851.25,2784900,4039400
000001,20001231,6722750,473888.375,3821116.25,5226533
000001,20010630,8518143,496182.4063,5021236,6883126
000001,20011231,12012698,362766.875,5346508.5,8787662
000001,20020331,11068855,381191.625,5771559.453,7691632.287
000001,20020630,13468902,394185.5938,7023000,9359400
000001,20020930,16002197,405819.375,8100437.164,11045147.28
000001,20021231,16616638,376802.125,8411472,11469251
000001,20030331,16246742,392123.2188,8221263.601,10785674.18
000001,20030630,17545484,433023.5938,8878460,11647866
000001,20030930,19339630,398188.9375,11008699.56,14170579.69
000001,20031231,19345342,439488.9063,11011951,14174765
000001,20040331,21249734,417870.875,14788740.82,16873645.66
000001,20040630,20319444,425080.4375,14141306,16134936
000001,20040930,19884820,437212.1563,12283606.55,16281352.79
000001,20041231,20428642,468466.2188,12619546,16726625
000001,20050331,20120398,483878.875,12935908.25,16835295.94
000001,20050630,21050562,489214.9063,13533934,17613590
000001,20050930,22051594,501496.625,15483303.15,20017391.16
000001,20051231,22232468,505441.0625,15610302,20181580
000001,20060331,23955758,526413.3125,17357286.3,20886770.77
000001,20060630,24282388,559204,17593948,21171556
000001,20060930,24623028,605395.4375,17215194.55,21942224.2
000001,20061231,26057626,647446.3125,18218194,23220632
000001,20070331,28765862,710609.375,18998004.57,24406852.38
000001,20070630,31405600,769847.8125,20741382,26646580
000001,20070930,34052692,836355.3125,21425551.47,27169273.71
000001,20071231,35253936,1300606.25,22181360,28127698
000001,20080331,40947392,1404138.375,22833356.37,31801576.45
000001,20080630,44182348,1694329.875,24637254,34313988
000001,20080930,44145440,1837466.25,26401405.78,33544906.74
000001,20081231,47444016,1640079,28374136,36051404
000001,20090331,52187940,1707212.875,33010859.58,40168135.91
000001,20090630,54122572,1798739.25,34234588,41657188
000001,20090930,55426468,1908843.5,33899975.18,42868918.16
000001,20091231,58781104,2046960.875,35951740,45463520
000001,20100331,61992764,2210982.5,37094966.92,50236558.21
000001,20100630,62439816,3042110.75,37362472,50598832
000001,20100930,67506384,3214413.5,37797031.87,52226019.1
000001,20101231,72761008,3351287.5,40739112,56291236
000001,20110331,80756344,3595007,42506444.48,59946819.73
000001,20110630,85205704,3815239.5,44848384,63249656
000001,20110930,120721248,7168626.5,59550170.63,81638027.09
000001,20111231,125817696,7538058.5,62064180,85084512
000001,20120331,136800512,7895742.5,62673011.42,87146627.31
000001,20120630,149062288,7982261,68290552,94957800
000001,20120930,147753072,8172588.5,66290091.24,93911198.65
000001,20121231,160653680,8479878,72078008,102110768
000001,20130331,181124896,8875900,77970433.72,116522909.3
000001,20130630,182699808,9154200,78648400,117536096
000001,20130930,185561904,9491300,83111036.86,119376390.9
000001,20131231,189174096,11208100,84728896,121700200
000001,20140331,209710208,11730000,92093651.47,148109650.6
000001,20140630,213647504,12094000,93822704,150890400
000001,20140930,214435808,12673600,108322979.9,186358689
002142,20041231,3423800.25,174362.8594,1729544.375,2975505.5
002142,20051231,4242935,218717.2031,1960913.25,3752124.25
002142,20061231,5654623.5,319618.375,2813490,4619139.5
002142,20070630,6691931,337341.4688,3361605,5147678.5
002142,20070930,7341147,765546.3125,3548764.055,5397068.059
002142,20071231,7551077,802231.6875,3650245.75,5551404.5
002142,20080331,8258209.5,832315.4375,4103538.147,6005913.07
002142,20080630,8829900,820533.9375,4387613.5,6421684
002142,20080930,10133298,860091.75,4823713.482,7479699.257
002142,20081231,10326319,880500.375,4915596.5,7622174
002142,20090331,11885189,913286.0625,5879410.373,8879007.836
002142,20090630,12987831,900813.1875,6424869.5,9702753
002142,20090930,14446698,938873.3125,7239968.04,9794851.705
002142,20091231,16335187,974198.3125,8186385,11075246
002142,20100331,18247626,1025723.5,8142980.969,11167630.05
002142,20100630,20976122,1053617.75,9360569,12837482
002142,20100930,23496844,1114246.875,9065365.3,13014930.73
002142,20101231,26327434,1587663.875,10157441,14582798
002142,20110331,27137340,1669486,11761273.76,17859890.31
002142,20110630,26244628,1694040.875,11374374,17272370
002142,20110930,23327878,1784072.875,10991972.71,15826981.17
002142,20111231,26049764,1871406.75,12274511,17673666
002142,20120331,26555664,1972523.25,13034283.1,19556086.95
002142,20120630,27764342,2037110.875,13627537,20446180
002142,20120930,33891312,2140748,13212010.5,18833673.49
002142,20121231,37353660,2211696,14561754,20757728
002142,20130331,42161928,2337804.5,15083187.63,24187906.29
002142,20130630,44394960,2466835.75,15882042,25468976
002142,20130930,45244980,2502501,16558201.02,24691618.28
002142,20131231,46777260,2552188.75,17118966,25527832
002142,20140331,53174836,2735786.25,19365628.86,31027150.14
002142,20140630,52422892,2922081.5,19091780,30588396
002142,20140930,53792024,3273068.5,20095134,30705960
600000,19961231,6506717,157990.7969,3449686.575,5098530.719
600000,19971231,8164033,317171.8125,4328351.001,6397169.731
600000,19981231,8733822,333350.5938,4630437.823,6843644.769
600000,19990630,8720320,383947.6875,4623279.426,6833064.877
600000,19991231,10320968,777605.3125,5471900,8087300
600000,20000630,11339810,830631.9375,6185000,9014000
600000,20001231,13072243,744476.9375,6989729,10612969
600000,20010630,15063869,793143.9375,8570720,12321604
600000,20010930,16273175,821857.875,9102174.468,13891618.42
600000,20011231,17369068,706666.6875,9715147,14827129
600000,20020331,17716654,733241.375,11219877.53,14912329.38
600000,20020630,20903674,760810.9375,13238203,17594884
600000,20020930,24324312,792135.9375,15186542.41,21242414.81
600000,20021231,27930072,796047.625,17437748,24391324
600000,20030331,27961614,1076046,18817691.78,23093254.33
600000,20030630,34266540,1110166.875,23060800,28300438
600000,20030930,36130040,1152689.625,24840363.79,31364467.87
600000,20031231,37105668,1201092.25,25511134,32211410
600000,20040331,39190124,1199589.125,26594309.42,33694156.52
600000,20040630,41388952,1245371.875,28086428,35584624
600000,20040930,42370892,1296390.75,28918539.23,36776049.88
600000,20041231,45553228,1351030.375,31090514,39538176
600000,20050331,45726452,1402406.25,31565979.68,40386421.16
600000,20050630,49245152,1414336.75,33995016,43494200
600000,20050930,51945552,1481218.625,34166134.12,45791398.69
600000,20051231,57352268,1596946.25,37722292,50557564
600000,20060331,59944336,1567964,40976998.22,53180202.9
600000,20060630,63023228,1706633.125,43081680,55911672
600000,20060930,63793484,1789122.75,42652091.55,55200407.16
600000,20061231,68934416,2470612.75,46089300,59648848
600000,20070331,70412688,2568705.5,47951183.25,58670514.46
600000,20070630,76985392,2611129.75,52427208,64147140
600000,20070930,84441544,2740815.25,50849517.56,70459251.83
600000,20071231,91498032,2829786.75,55098836,76347288
600000,20080331,95003208,3141903.75,58907023.6,78981640.05
600000,20080630,100261056,3460707.25,62167168,83352792
600000,20080930,111545552,3809718.5,59423187.03,80696757.75
600000,20081231,130942544,4170180,69756464,94729360
600000,20090331,150014128,4502332,86954330.78,114348785.8
600000,20090630,161948256,4685610,93871840,123445616
600000,20090930,158738288,6512171,90862870.4,126713595.6
600000,20091231,162271792,6808744.5,92885472,129534232
600000,20100331,166155664,7234165,98000625.72,134760662.2
600000,20100630,178126144,7606769.5,105060960,144469328
600000,20100930,197571840,8181727,103364465,147739045.4
600000,20101231,219141072,12327985,114648928,163867952
600000,20110331,227013600,12941399,114411681.1,161891330.9
600000,20110630,245524000,13364095,123740664,175091744
600000,20110930,252141728,14000818,125046140.8,173847857
600000,20111231,268469376,14954278,133143608,185105520
600000,20120331,280464672,15774638,134156525.7,190436581.4
600000,20120630,303643232,16389532,145243680,206174912
600000,20120930,314218464,17159260,154282352.8,213197511.7
600000,20121231,314570688,17965900,154455296,213436496
600000,20130331,340791712,18907800,164899975.2,234629762.2
600000,20130630,346844192,18902600,167828608,238796800
600000,20130930,359394304,19840100,172610246.7,236303096.1
600000,20131231,368012512,20722700,176749408,241969600
600000,20140331,374049984,21963700,180670825.6,262370923.2
600000,20140630,393021696,22131900,189834400,275678304
600000,20140930,395664192,23449900,224275917.6,313332922.8
600015,20001231,9983324,145557.6719,5658887.5,7905957
600015,20011231,13504967,209583.5625,6642245.5,11037973
600015,20021231,17814650,360136.9375,8831098,14781416
600015,20030630,20365390,399655.9063,12431176,16881692
600015,20030930,21706668,972182.75,13257794.46,18407514.29
600015,20031231,24682878,862707.75,15075576,20931376
600015,20040331,24113860,889400.1875,15441783.21,20194114.45
600015,20040630,26564396,908742.6875,17011032,22246312
600015,20040930,27615342,938322.6875,16434611.62,24304743.09
600015,20041231,30432574,960899.5,18111220,26784238
600015,20050331,29841978,992106.8125,18907500.43,25844348.27
600015,20050630,32393698,982883.9375,20524238,28054240
600015,20050930,33349170,1027252.375,21896078.96,29093591.11
600015,20051231,35592148,1053082.25,23368752,31050350
600015,20060331,36237068,1084570.25,24131006.59,31238702.81
600015,20060630,39168408,1074244.125,26083046,33765708
600015,20060930,39719996,1124708,23183619.84,33137228.43
600015,20061231,44505344,1164279.5,25976714,37129504
600015,20070331,42411284,1196841,25592584.36,33538103.07
600015,20070630,48102124,1201485.125,29026654,38038320
600015,20070930,52961928,1262967.125,27366902.66,39232232.98
600015,20071231,59233828,1305562.75,30607768,43878224
600015,20080331,59796804,1385104.375,31818758.02,43534965.8
600015,20080630,62814612,1448189.75,33424578,45732076
600015,20080930,65262336,1575628.75,31708768,43293378.28
600015,20081231,73163720,2742135.75,35547784,48534956
600015,20090331,75772712,2797453.5,40313917.38,53344996.21
600015,20090630,80053040,2815787.75,42591212,56358404
600015,20090930,82363168,2911924,41911970.12,56666287.91
600015,20091231,84545640,3023418.5,43022560,58167840
600015,20100331,89150992,3158769.5,46296063.93,63600666.54
600015,20100630,94169576,3266287.5,48902212,67180944
600015,20100930,101079064,3417604.25,51299540.33,74589755.84
600015,20101231,104023048,3549588,52793668,76762224
600015,20110331,112244256,3720277,56150744.78,80445744.64
600015,20110630,114076848,5880551,57067508,81759168
600015,20110930,107977816,6094446.5,53068277.67,77765031.86
600015,20111231,124414120,6393012.5,61146292,89602368
600015,20120331,125006400,6631811.5,61887974.22,89414043.23
600015,20120630,135451520,6861321.5,67059128,96885184
600015,20120930,144644192,7118952.5,69965019.19,100648411.9
600015,20121231,148886000,7472262.5,72016800,103600008
600015,20130331,151906144,7790471.5,77877664.81,110122464
600015,20130630,150715200,8266700,77267104,109259104
600015,20130930,155180896,8253200,76379158.03,109264913.8
600015,20131231,167244704,8601900,82316896,117759200
600015,20140331,173419296,9030000,86970182.57,125956957.3
600015,20140630,177856000,9207800,89195200,129179400
600015,20140930,178409200,9690200,91039400,126792200
600016,19971231,1852425.625,155801.2344,814090.4461,1355278.389
600016,19981231,2535214.5,161990.875,1114157.5,1854822.875
600016,19991231,3659625.25,153273.5625,1678544.875,2906203
600016,20000630,4861044.5,173856.3438,2493381.254,3765144.843
600016,20001231,6805821.5,599573.75,3490918,5271481
600016,20010331,8069076,616115,3799109.597,6019009.237
600016,20010630,10030324,585445.0625,4722511,7481973.5
600016,20010930,11822844,609861.4375,6261690.718,8850802.564
600016,20011231,13889842,542490.3125,7356427.5,10398196
600016,20020331,14162887,562698.6875,8122963.948,9883718.252
600016,20020630,19597760,569814.625,11240074,13676501
600016,20020930,21595732,592777.3125,11254353.53,16196282.96
600016,20021231,24628086,600381,12834628,18470476
600016,20030331,25447850,629123.625,13145081.64,18328397.33
600016,20030630,32978238,664186,17034902,23752036
600016,20030930,35901928,727502.625,20063002.97,27308849.67
600016,20031231,36106440,965020.375,20177290,27464412
600016,20040331,37917648,1167648.75,23314406.56,31496070.7
600016,20040630,40588064,1194560.75,24956364,33714236
600016,20040930,42179552,1243941.25,27308086.95,35990450.53
600016,20041231,44539868,1290715.75,28836214,38004432
600016,20050331,46775104,1351460.75,29010200.06,40180642.86
600016,20050630,51233500,1381551.875,31775324,44010484
600016,20050930,51877212,1483176.625,35180497.29,45487068.25
600016,20051231,55750528,1538579.25,37807184,48883276
600016,20060331,56762804,1591406.125,38699525.88,48550949.46
600016,20060630,62543156,1660577.625,42640432,53495060
600016,20060930,65020232,1740309.5,41534941.73,54147086.71
600016,20061231,70044936,1930506,44744724,58331524
600016,20070331,69250960,2039525.25,44039515.67,52162194.66
600016,20070630,85209960,4291531.5,54188496,64183060
600016,20070930,94460112,4522508.5,56992443.06,68932063.09
600016,20071231,91979640,5018617.5,55495852,67121944
600016,20080331,100354120,4931393.5,57824482.77,71840428.31
600016,20080630,106221096,5522289,61205060,76040416
600016,20080930,106405512,5766682.5,66442009.66,79301903.21
600016,20081231,105435000,5467200,65836000,78578600
600016,20090331,116155104,5757300,74464893.13,88582536.77
600016,20090630,141001408,5805200,90393400,107530896
600016,20090930,140293600,6041100,86845907.89,110938986.3
600016,20091231,142639200,8889400,88297904,112793800
600016,20100331,148491696,9355500,86944314.83,120153658.4
600016,20100630,163077600,9689400,95484600,131956000
600016,20100930,176439504,10122400,102315911.7,137083377.1
600016,20101231,182373696,10525700,105757104,141693904
600016,20110331,204270000,11160800,107973981.7,145246499.5
600016,20110630,216100496,11680900,114227400,153658592
600016,20110930,212180608,12428400,114722823.6,156559655.5
600016,20111231,222906400,13411000,120522096,164473792
600016,20120331,241723008,14354300,121441475.4,168751083
600016,20120630,259406592,15471200,130325696,181096304
600016,20120930,280956992,15960000,121113238.5,168486142
600016,20121231,321200096,16854400,138460992,192619392
600016,20130331,329988096,18366800,143697658.5,210468115.4
600016,20130630,341009312,19120700,148496992,217497504
600016,20130930,331321888,19622600,161671997.7,220458388.3
600016,20131231,322620992,20428700,157426304,214668896
600016,20140331,328211904,21788100,155886306.4,222448018.9
600016,20140630,357145088,22929900,169628304,242057696
600016,20140930,376934112,24080300,175096896,239768992
600036,19991231,15660640,288150.4063,8283504,12226798
600036,20001231,21950798,368531.5938,10974288,16446557
600036,20011231,26631716,511643.5938,14018548,21429844
600036,20020331,31772662,1552354.375,17713970.01,24913512.47
600036,20020630,31313710,1610114.25,17458094,24553640
600036,20020930,33432188,1652210,18614235.98,27021636.98
600036,20021231,37165992,1603182.125,20693128,30039492
600036,20030331,38914204,1658768.625,23578634.94,31115710.88
600036,20030630,43583428,1714015,26407780,34849212
600036,20030930,44271864,1771918.75,27015102.02,35748862.8
600036,20031231,50389280,1826143.75,30748006,40688584
600036,20040331,51068352,1854660.25,32572969.59,41872045.45
600036,20040630,53886244,1942638,34370308,44182496
600036,20040930,56634668,2026980.125,35319514.32,48161598.87
600036,20041231,60276548,2088095,37590728,51258620
600036,20050331,63003520,2193577,42467717.09,54969232.91
600036,20050630,67142320,2226239.75,45257488,58580248
600036,20050930,70344536,2355620.25,45215154.32,60748763.44
600036,20051231,73461288,2599746.75,47218500,63440356
600036,20060331,76576024,3240471.25,49381595.86,65362142.94
600036,20060630,82431584,3274276.25,53157672,70360208
600036,20060930,87400912,5089503,52930924.56,72397932.55
600036,20061231,93410224,5516052.5,56570228,77375704
600036,20070331,98469296,5731100,55909977.04,75005515.75
600036,20070630,110877600,5923600,62955300,84457104
600036,20070930,121936600,6294600,62632921.16,87788449.4
600036,20071231,131055200,6798400,67316704,94353400
600036,20080331,137378592,7476200,73095171.28,103012558.5
600036,20080630,139579104,7749600,74266000,104662600
600036,20080930,154724896,9001200,86070639.5,123111563.8
600036,20081231,157179696,7978100,87436200,125064800
600036,20090331,180083904,8217100,105175438.1,140640975
600036,20090630,197276800,8418500,115216704,154068192
600036,20090930,201690096,8750500,115655406.8,156845437.7
600036,20091231,206794096,9278300,118582200,160814592
600036,20100331,219927504,11821400,128225250.5,168851702.5
600036,20100630,228248192,12484100,133076496,175240000
600036,20100930,235956400,13310800,140586490.9,186326726.5
600036,20101231,240250704,13400600,143145104,189717792
600036,20110331,258472304,14277700,152039163.3,204645500.8
600036,20110630,264320496,14543200,155479200,209275808
600036,20110930,263327808,15384800,154613665.6,209162656.3
600036,20111231,279497088,16501000,164107504,222006000
600036,20120331,296357888,17727300,159109627.5,219094092
600036,20120630,332270112,18136200,178390304,245643600
600036,20120930,314461792,19095400,175722853.5,233666013.3
600036,20121231,340809888,20040100,190446304,253244400
600036,20130331,351342592,21455700,193444223.4,257938583.6
600036,20130630,381062912,21249800,209807808,279757792
600036,20130930,388537216,25727400,212541833.8,268473839.9
600036,20131231,401639904,26595600,219709408,277527616
600036,20140331,440454912,28384200,211960356.9,299354029.9
600036,20140630,503312192,28636400,242209200,342074816
600036,20140930,472264800,30239800,133238944.5,252606112.5
601009,20021231,2625857.75,123258.3438,740827,1404525
601009,20031231,2958244.25,131761.7813,1242583.25,2282633
601009,20041231,3827165.75,166502.5938,1564770.5,2834581.25
601009,20051231,4859326.5,210427.5,2006795.625,3585915
